_id,trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
155,143070,12,52,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
156,1827070,12,52,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
157,6218020,12,11,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
158,3306020,12,11,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
159,13396070,12,52,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
160,951010,12,37,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
161,9135020,12,11,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
162,9986020,12,11,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
163,9537070,12,52,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
164,1762020,12,11,Oakland Amtrak at Jack London Square,"",0,12007,shp-12-53,0,0
165,13107070,12,52,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
166,11114070,12,52,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
167,11391010,12,37,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
168,9013020,12,11,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
169,1835020,12,11,Oakland Amtrak at Jack London Square,"",0,12007,shp-12-53,0,0
170,6652070,12,52,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
171,980020,12,2,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
172,7124020,12,11,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
173,145020,12,11,Oakland Amtrak at Jack London Square,"",0,12007,shp-12-53,0,0
174,12571010,12,37,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
175,2319010,12,37,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
176,4371070,12,52,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
177,13707070,12,52,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
178,5129020,12,11,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
179,5699020,12,11,Oakland Amtrak at Jack London Square,"",0,12007,shp-12-53,0,0
180,387010,12,37,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
181,9399070,12,52,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
182,12934020,12,11,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
183,5275010,12,37,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
184,2710020,12,11,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
185,13700070,12,52,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
186,12915020,12,11,Oakland Amtrak at Jack London Square,"",0,12008,shp-12-53,0,0
187,8192020,12,11,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
188,4170010,12,37,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
189,879020,12,11,Oakland Amtrak at Jack London Square,"",0,12007,shp-12-53,0,0
190,5094010,12,37,Oakland Amtrak at Jack London Square,"",0,12003,shp-12-53,0,0
191,1176020,12,11,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
192,6382070,12,52,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
193,4821020,12,11,Oakland Amtrak at Jack London Square,"",0,12008,shp-12-53,0,0
194,11904010,12,37,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
195,9088070,12,52,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
196,2491020,12,11,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
197,735020,12,2,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
198,12201020,12,11,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
199,797020,12,2,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
200,13984070,12,52,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
201,4800020,12,2,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
202,1761010,12,37,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
203,11331010,12,37,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
204,301020,12,11,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
205,10313020,12,11,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
206,10299020,12,11,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
207,9145010,12,37,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
208,6188010,12,37,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
209,10370020,12,11,Oakland Amtrak at Jack London Square,"",0,12007,shp-12-53,0,0
210,12612070,12,52,Oakland Amtrak at Jack London Square,"",0,12005,shp-12-53,0,0
211,8134010,12,37,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
212,1819070,12,52,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
213,12669020,12,11,Oakland Amtrak at Jack London Square,"",0,12001,shp-12-53,0,0
214,576010,12,37,Oakland Amtrak at Jack London Square,"",0,12002,shp-12-53,0,0
215,9158020,12,11,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
216,8707020,12,11,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
217,9572070,12,52,Oakland Amtrak at Jack London Square,"",0,12004,shp-12-53,0,0
218,12761020,12,11,Oakland Amtrak at Jack London Square,"",0,12006,shp-12-53,0,0
219,735160,12,41,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
220,64160,12,41,Oakland Amtrak at Jack London Square,"",0,12009,shp-12-53,0,0
